Район,Конкурс,Год,Количество участников,Средний балл,Необходимые знания
Район9,Олимпиада им. В.Я. Струве по астрономии_РЭ,2024,163,38.69,Общие знания
Район9,Олимпиада им. В.Я. Струве по астрономии_ЗЭ,2024,80,17.01,Общие знания
Район9,Олимпиада им. Л.Эйлера по математике_ЗЭ,2023,36,11.54,Общие знания
Район9,Олимпиада им. Л.Эйлера по математике_РЭ,2024,158,36.17,Общие знания
Район9,Олимпиада им. Л.Эйлера по математике_ЗЭ,2024,197,42.2,Общие знания
Район9,Олимпиада им. М. Келдыша по информатике_РЭ,2023,156,34.8,Общие знания
Район9,Олимпиада им. М. Келдыша по информатике_ЗЭ,2023,186,33.92,Общие знания
Район9,Олимпиада им. М. Келдыша по информатике_РЭ,2024,51,17.21,Общие знания
Район10,Английский язык_ШЭ,2023,27,11.52,"Знание основ английского языка, включая грамматику, базовый словарный запас, навыки устной речи и аудирования."
Район10,Английский язык_МЭ,2023,204,37.94,"Разговорный английский на среднем уровне, навыки общения в различных ситуациях."
Район10,Английский язык_РЭ,2023,21,9.89,"Чтение и глубокое понимание сложных текстов, написание эссе."
Район10,Английский язык_ЗЭ,2023,241,42.44,"Письмо и составление различных текстов, включая деловую переписку."
Район10,Английский язык_ШЭ,2024,249,43.49,"Углубленное знание грамматики, расширенный словарный запас, навыки ведения диалогов на различные темы."
Район10,Английский язык_МЭ,2024,104,25.68,"Разговорный английский на высоком уровне, анализ текстов и их интерпретация."
Район10,Английский язык_ЗЭ,2024,181,39.42,"Создание резюме и сопроводительных писем, навыки редактирования."
Район10,Астрономия_ШЭ,2023,196,34.95,"Основы астрономии, знание планет и звезд, работа с телескопом."
Район10,Астрономия_МЭ,2023,233,43.05,"Астрономические наблюдения, работа с астрономическими картами."
Район10,Астрономия_РЭ,2023,117,32.1,"Астрономические расчеты, понимание законов движения небесных тел."
Район10,Астрономия_ЗЭ,2023,141,35.77,"История астрономии, влияние астрономии на культуру."
Район10,Астрономия_ШЭ,2024,65,20.18,"Углубленное изучение астрономических явлений, работа с современными телескопами."
Район10,Астрономия_МЭ,2024,31,18.17,"Анализ данных астрономических наблюдений, изучение звездных систем."
Район10,Астрономия_РЭ,2024,31,15.48,"Понимание астрофизики, работа с астрономическими моделями."
Район10,Астрономия_ЗЭ,2024,173,31.47,Современные достижения в астрономии и космонавтике.
Район10,Биология_ШЭ,2023,99,21.9,"Основы биологии, экология, анатомия."
Район10,Биология_МЭ,2023,9,15.89,"Изучение экосистем, взаимодействие организмов."
Район10,Биология_ЗЭ,2023,72,17.69,"История биологии, влияние на медицину."
Район10,Биология_ШЭ,2024,89,19.31,Углубленное изучение клеточной биологии и генетики.
Район10,Биология_МЭ,2024,200,38.73,Изучение биологических процессов на молекулярном уровне.
Район10,Биология_РЭ,2024,75,22.29,"Работа с биоинформатикой, анализ генетических данных."
Район10,Биология_ЗЭ,2024,177,32.71,Современные достижения в биологии и биотехнологиях.
Район10,География_ШЭ,2023,82,21.26,"Знание географии, карты, страны и столицы."
Район10,География_МЭ,2023,193,38.22,"Экономическая география, влияние человека на природу."
Район10,География_РЭ,2023,193,37.99,"Географические исследования, работа с картами."
Район10,География_ЗЭ,2023,87,20.15,"История географии, влияние на культуру."
Район10,География_ШЭ,2024,60,23.97,Углубленное изучение физической и экономической географии.
Район10,География_МЭ,2024,139,29.54,Анализ природных ресурсов и их использование.
Район10,География_РЭ,2024,10,9.68,Работа с геоинформационными системами (ГИС).
Район10,География_ЗЭ,2024,196,43.26,Современные достижения в географии.
Район10,Информатика_ШЭ,2023,119,25.27,"Основы программирования, работа с данными."
Район10,Информатика_МЭ,2023,78,17.29,"Разработка программного обеспечения, работа с базами данных."
Район10,Информатика_РЭ,2023,236,43.66,Анализ и оптимизация алгоритмов.
Район10,Информатика_ЗЭ,2023,116,27.47,"История информатики, влияние технологий на общество."
Район10,Информатика_ШЭ,2024,29,18.63,Углубленное изучение алгоритмов и структур данных.
Район10,Информатика_МЭ,2024,127,27.12,Создание веб-приложений и работа с API.
Район10,Информатика_РЭ,2024,75,23.62,Машинное обучение и работа с большими данными.
Район10,Информатика_ЗЭ,2024,94,20.59,Современные достижения в области информатики.
Район10,Искусство_ШЭ,2023,179,39.09,Общие знания
Район10,Искусство_МЭ,2023,250,48.12,Общие знания
Район10,Искусство_РЭ,2023,81,21.06,Общие знания
Район10,Искусство_ЗЭ,2023,95,19.41,Общие знания
Район10,Искусство_ШЭ,2024,20,11.31,Общие знания
Район10,Искусство_МЭ,2024,194,41.65,Общие знания
Район10,Искусство_РЭ,2024,30,10.55,Общие знания
Район10,Искусство_ЗЭ,2024,35,14.27,Общие знания
Район10,История_ШЭ,2023,157,31.85,"Основы истории, знание ключевых событий и дат."
Район10,История_МЭ,2023,218,47.4,Изучение исторических процессов и их влияния на современность.
Район10,История_РЭ,2023,117,30.99,Анализ исторических источников и документов.
Район10,История_ЗЭ,2023,166,39.04,"История культуры и искусства, влияние на общество."
Район10,История_ШЭ,2024,27,9.09,Углубленное изучение мировой истории и ее этапов.
Район10,История_МЭ,2024,121,24.25,Анализ исторических событий с разных точек зрения.
Район10,История_РЭ,2024,21,13.73,Работа с архивными материалами и историческими документами.
Район10,История_ЗЭ,2024,1,7.17,Современные подходы к изучению истории.
Район10,Испанский язык_ШЭ,2023,72,17.44,Общие знания
Район10,Испанский язык_РЭ,2023,82,25.02,Общие знания
Район10,Испанский язык_ЗЭ,2023,131,26.81,Общие знания
Район10,Испанский язык_ШЭ,2024,182,33.34,Общие знания
Район10,Испанский язык_МЭ,2024,171,38.3,Общие знания
Район10,Испанский язык_РЭ,2024,77,24.79,Общие знания
Район10,Испанский язык_ЗЭ,2024,18,7.9,Общие знания
Район10,Итальянский язык_ШЭ,2023,206,45.01,Общие знания
Район10,Итальянский язык_МЭ,2023,167,34.09,Общие знания
Район10,Итальянский язык_РЭ,2023,71,23.88,Общие знания
Район10,Итальянский язык_ЗЭ,2023,223,39.87,Общие знания
Район10,Итальянский язык_ШЭ,2024,173,35.25,Общие знания
Район10,Итальянский язык_МЭ,2024,64,15.8,Общие знания
Район10,Итальянский язык_РЭ,2024,66,21.49,Общие знания
Район10,Итальянский язык_ЗЭ,2024,120,26.29,Общие знания
Район10,Китайский язык_ШЭ,2023,23,13.45,Общие знания
Район10,Китайский язык_МЭ,2023,97,20.22,Общие знания
Район10,Китайский язык_РЭ,2023,179,38.44,Общие знания
Район10,Китайский язык_ЗЭ,2023,156,34.16,Общие знания
Район10,Китайский язык_ШЭ,2024,152,29.34,Общие знания
Район10,Китайский язык_МЭ,2024,58,21.38,Общие знания
Район10,Китайский язык_РЭ,2024,246,43.17,Общие знания
Район10,Китайский язык_ЗЭ,2024,35,19.42,Общие знания
Район10,Литература_ШЭ,2023,20,14.62,"Основы литературного анализа, знание классических произведений."
Район10,Литература_МЭ,2023,241,44.82,Изучение различных жанров и стилей литературы.
Район10,Литература_РЭ,2023,238,43.48,"Анализ литературных произведений, написание критических отзывов."
Район10,Литература_ЗЭ,2023,229,46.52,"История литературы, влияние на культуру."
Район10,Литература_ШЭ,2024,147,28.52,Углубленное изучение литературных течений и направлений.
Район10,Литература_МЭ,2024,134,30.8,Анализ современных произведений и их контекста.
Район10,Литература_РЭ,2024,232,46.6,Создание собственных литературных произведений.
Район10,Математика_ШЭ,2023,7,9.98,Общие знания
Район10,Математика_МЭ,2023,175,39.18,Общие знания
Район10,Математика_РЭ,2023,38,18.64,Общие знания
Район10,Математика_ЗЭ,2023,141,36.08,Общие знания
Район10,Математика_ШЭ,2024,133,30.51,Общие знания
Район10,Математика_МЭ,2024,26,9.34,Общие знания
Район10,Математика_РЭ,2024,232,41.43,Общие знания
Район10,Математика_ЗЭ,2024,62,18.53,Общие знания
Район10,Немецкий язык_ШЭ,2023,94,25.73,Общие знания
Район10,Немецкий язык_МЭ,2023,235,43.51,Общие знания
Район10,Немецкий язык_РЭ,2023,131,30.22,Общие знания
Район10,Немецкий язык_ЗЭ,2023,197,38.39,Общие знания
Район10,Немецкий язык_ШЭ,2024,71,21.54,Общие знания
Район10,Немецкий язык_МЭ,2024,224,40.99,Общие знания
Район10,Немецкий язык_РЭ,2024,118,26.25,Общие знания
Район10,Немецкий язык_ЗЭ,2024,101,29.66,Общие знания
Район10,Обществознание_ШЭ,2023,101,27.16,Общие знания
Район10,Обществознание_МЭ,2023,14,9.99,Общие знания
Район10,Обществознание_ЗЭ,2023,166,31.45,Общие знания
Район10,Обществознание_ШЭ,2024,220,43.53,Общие знания
Район10,Обществознание_МЭ,2024,216,39.49,Общие знания
Район10,Обществознание_РЭ,2024,150,37.29,Общие знания
Район10,Обществознание_ЗЭ,2024,72,19.14,Общие знания
Район10,Основы безопасности жизнедеятельности_ШЭ,2023,182,41.73,Общие знания
Район10,Основы безопасности жизнедеятельности_МЭ,2023,219,46.22,Общие знания
Район10,Основы безопасности жизнедеятельности_РЭ,2023,191,36.45,Общие знания
Район10,Основы безопасности жизнедеятельности_ЗЭ,2023,139,28.79,Общие знания
Район10,Основы безопасности жизнедеятельности_ШЭ,2024,152,31.85,Общие знания
Район10,Основы безопасности жизнедеятельности_МЭ,2024,94,21.07,Общие знания
Район10,Основы безопасности жизнедеятельности_РЭ,2024,50,14.29,Общие знания
Район10,Основы безопасности жизнедеятельности_ЗЭ,2024,62,14.64,Общие знания
Район10,Право_ШЭ,2023,220,43.41,Общие знания
Район10,Право_МЭ,2023,211,40.63,Общие знания
Район10,Право_РЭ,2023,231,47.29,Общие знания
Район10,Право_ЗЭ,2023,185,36.28,Общие знания
Район10,Право_ШЭ,2024,211,43.06,Общие знания
Район10,Право_МЭ,2024,50,19.04,Общие знания
Район10,Право_РЭ,2024,49,19.34,Общие знания
Район10,Право_ЗЭ,2024,114,28.81,Общие знания
Район10,Русский язык_ШЭ,2023,179,38.03,Общие знания
Район10,Русский язык_МЭ,2023,54,14.64,Общие знания
Район10,Русский язык_РЭ,2023,133,29.65,Общие знания
Район10,Русский язык_ЗЭ,2023,86,20.55,Общие знания
Район10,Русский язык_ШЭ,2024,17,11.88,Общие знания
Район10,Русский язык_МЭ,2024,8,8.53,Общие знания
Район10,Русский язык_РЭ,2024,148,28.49,Общие знания
Район10,Русский язык_ЗЭ,2024,110,25.66,Общие знания
Район10,Технология_ШЭ,2023,199,35.62,Общие знания
Район10,Технология_МЭ,2023,159,34.49,Общие знания
Район10,Технология_РЭ,2023,144,33.99,Общие знания
Район10,Технология_ЗЭ,2023,165,34.22,Общие знания
Район10,Технология_ШЭ,2024,145,27.05,Общие знания
Район10,Технология_МЭ,2024,101,29.1,Общие знания
Район10,Технология_РЭ,2024,125,25.92,Общие знания
Район10,Технология_ЗЭ,2024,9,11.4,Общие знания
Район10,Физика_ШЭ,2023,138,35.28,"Основы физики, механика, термодинамика."
Район10,Физика_МЭ,2023,221,47.54,"Экспериментальные методы, анализ физических явлений."
Район10,Физика_РЭ,2023,92,25.36,"Решение задач, работа с физическими формулами."
Район10,Физика_ЗЭ,2023,190,35.79,"История физики, влияние на технологии."
Район10,Физика_ШЭ,2024,77,23.06,Углубленное изучение квантовой физики и теории относительности.
Район10,Физика_МЭ,2024,135,32.68,Применение законов физики в реальных задачах.
Район10,Физика_РЭ,2024,30,18.91,Исследование физических процессов на высоком уровне.
Район10,Физика_ЗЭ,2024,164,34.06,Современные достижения в физике.
Район10,Физическая культура_ШЭ,2023,152,32.69,Общие знания
Район10,Физическая культура_МЭ,2023,3,14.22,Общие знания
Район10,Физическая культура_РЭ,2023,175,32.81,Общие знания
Район10,Физическая культура_ЗЭ,2023,229,44.89,Общие знания
Район10,Физическая культура_ШЭ,2024,88,27.48,Общие знания
Район10,Физическая культура_МЭ,2024,66,15.87,Общие знания
Район10,Физическая культура_РЭ,2024,192,37.93,Общие знания
Район10,Физическая культура_ЗЭ,2024,165,30.53,Общие знания
Район10,Французский язык_ШЭ,2023,28,17.68,Общие знания
Район10,Французский язык_МЭ,2023,129,30.4,Общие знания
Район10,Французский язык_РЭ,2023,243,42.1,Общие знания
Район10,Французский язык_ЗЭ,2023,184,38.63,Общие знания
Район10,Французский язык_ШЭ,2024,70,18.5,Общие знания
Район10,Французский язык_МЭ,2024,76,25.63,Общие знания
Район10,Французский язык_РЭ,2024,192,38.17,Общие знания
Район10,Французский язык_ЗЭ,2024,150,33.18,Общие знания
Район10,Химия_ШЭ,2023,88,23.15,"Основы химии, химические реакции, периодическая таблица."
Район10,Химия_РЭ,2023,143,30.22,"Решение химических задач, работа с формулами."
Район10,Химия_ЗЭ,2023,91,20.53,"История химии, влияние на медицину."
Район10,Химия_ШЭ,2024,102,23.22,Углубленное изучение органической и неорганической химии.
Район10,Химия_МЭ,2024,164,31.55,Применение химических знаний в повседневной жизни.
Район10,Химия_РЭ,2024,164,38.1,Работа с химическими реакциями и их механизмами.
Район10,Химия_ЗЭ,2024,133,33.36,Современные достижения в химии и химической технологии.
Район10,Экология_ШЭ,2023,130,27.73,"Основы экологии, знание экосистем и их компонентов."
Район10,Экология_МЭ,2023,96,20.35,Изучение взаимодействия организмов и окружающей среды.
Район10,Экология_РЭ,2023,218,47.4,Анализ экологических данных и проблем.
Район10,Экология_ЗЭ,2023,194,35.08,"История экологии, влияние на общество."
Район10,Экология_ШЭ,2024,97,27.1,Углубленное изучение экологических процессов и их динамики.
Район10,Экология_МЭ,2024,169,33.76,Анализ современных экологических проблем и их решений.
Район10,Экология_РЭ,2024,111,27.89,Работа с экологическими моделями и прогнозами.
Район10,Экология_ЗЭ,2024,168,34.63,Современные достижения в экологии.
Район10,Экономика_ШЭ,2023,143,33.71,"Основы экономики, знание ключевых понятий и терминов."
Район10,Экономика_МЭ,2023,230,40.85,Изучение экономических систем и их особенностей.
Район10,Экономика_РЭ,2023,230,46.61,Анализ экономических данных и показателей.
Район10,Экономика_ЗЭ,2023,85,19.51,"История экономики, влияние на общество."
Район10,Экономика_ШЭ,2024,21,14.83,Углубленное изучение макро- и микроэкономики.
Район10,Экономика_МЭ,2024,182,40.1,Анализ современных экономических проблем и их решений.
Район10,Экономика_РЭ,2024,150,36.33,Работа с экономическими моделями и прогнозами.
Район10,Экономика_ЗЭ,2024,33,16.29,Современные достижения в экономике.
Район10,Олимпиада им. Дж.К. Максвелла по физике_РЭ,2023,144,31.97,Общие знания
Район10,Олимпиада им. Дж.К. Максвелла по физике_ЗЭ,2023,155,32.96,Общие знания
Район10,Олимпиада им. Дж.К. Максвелла по физике_РЭ,2024,174,32.55,Общие знания
Район10,Олимпиада им. Дж.К. Максвелла по физике_ЗЭ,2024,172,32.14,Общие знания
Район10,Олимпиада им. В.Я. Струве по астрономии_РЭ,2023,219,47.83,Общие знания
Район10,Олимпиада им. В.Я. Струве по астрономии_ЗЭ,2023,144,32.35,Общие знания
Район10,Олимпиада им. В.Я. Струве по астрономии_РЭ,2024,229,39.36,Общие знания
Район10,Олимпиада им. В.Я. Струве по астрономии_ЗЭ,2024,95,21.51,Общие знания
Район10,Олимпиада им. Л.Эйлера по математике_РЭ,2023,144,28.34,Общие знания
Район10,Олимпиада им. Л.Эйлера по математике_ЗЭ,2023,201,37.37,Общие знания
Район10,Олимпиада им. Л.Эйлера по математике_РЭ,2024,147,30.55,Общие знания
Район10,Олимпиада им. Л.Эйлера по математике_ЗЭ,2024,79,20.92,Общие знания
Район10,Олимпиада им. М. Келдыша по информатике_РЭ,2023,120,32.58,Общие знания
Район10,Олимпиада им. М. Келдыша по информатике_ЗЭ,2023,187,39.68,Общие знания
Район10,Олимпиада им. М. Келдыша по информатике_РЭ,2024,73,21.48,Общие знания
Район11,Английский язык_ШЭ,2023,87,24.15,"Знание основ английского языка, включая грамматику, базовый словарный запас, навыки устной речи и аудирования."
Район11,Английский язык_МЭ,2023,87,18.53,"Разговорный английский на среднем уровне, навыки общения в различных ситуациях."
Район11,Английский язык_РЭ,2023,52,18.36,"Чтение и глубокое понимание сложных текстов, написание эссе."
Район11,Английский язык_ЗЭ,2023,194,35.85,"Письмо и составление различных текстов, включая деловую переписку."
Район11,Английский язык_ШЭ,2024,78,20.8,"Углубленное знание грамматики, расширенный словарный запас, навыки ведения диалогов на различные темы."
Район11,Английский язык_МЭ,2024,97,24.9,"Разговорный английский на высоком уровне, анализ текстов и их интерпретация."
Район11,Английский язык_РЭ,2024,15,12.89,"Критическое чтение, написание научных работ и эссе."
Район11,Английский язык_ЗЭ,2024,34,14.86,"Создание резюме и сопроводительных писем, навыки редактирования."
Район11,Астрономия_ШЭ,2023,108,30.36,"Основы астрономии, знание планет и звезд, работа с телескопом."
Район11,Астрономия_МЭ,2023,31,10.88,"Астрономические наблюдения, работа с астрономическими картами."
Район11,Астрономия_РЭ,2023,36,19.43,"Астрономические расчеты, понимание законов движения небесных тел."
Район11,Астрономия_ЗЭ,2023,223,43.69,"История астрономии, влияние астрономии на культуру."
Район11,Астрономия_ШЭ,2024,74,22.98,"Углубленное изучение астрономических явлений, работа с современными телескопами."
Район11,Астрономия_МЭ,2024,228,39.68,"Анализ данных астрономических наблюдений, изучение звездных систем."
Район11,Астрономия_РЭ,2024,121,30.45,"Понимание астрофизики, работа с астрономическими моделями."
Район11,Астрономия_ЗЭ,2024,159,35.01,Современные достижения в астрономии и космонавтике.
Район11,Биология_ШЭ,2023,5,14.8,"Основы биологии, экология, анатомия."
Район11,Биология_МЭ,2023,176,38.27,"Изучение экосистем, взаимодействие организмов."
Район11,Биология_РЭ,2023,142,35.46,"Анализ биологических данных, работа с микроскопом."
Район11,Биология_ЗЭ,2023,228,40.58,"История биологии, влияние на медицину."
Район11,Биология_ШЭ,2024,19,8.08,Углубленное изучение клеточной биологии и генетики.
Район11,Биология_МЭ,2024,221,46.87,Изучение биологических процессов на молекулярном уровне.
Район11,Биология_РЭ,2024,39,17.02,"Работа с биоинформатикой, анализ генетических данных."
Район11,Биология_ЗЭ,2024,231,41.81,Современные достижения в биологии и биотехнологиях.
Район11,География_МЭ,2023,69,23.79,"Экономическая география, влияние человека на природу."
Район11,География_РЭ,2023,175,39.75,"Географические исследования, работа с картами."
Район11,География_ЗЭ,2023,193,39.53,"История географии, влияние на культуру."
Район11,География_ШЭ,2024,200,42.8,Углубленное изучение физической и экономической географии.
Район11,География_МЭ,2024,26,12.31,Анализ природных ресурсов и их использование.
Район11,География_РЭ,2024,233,40.92,Работа с геоинформационными системами (ГИС).
Район11,География_ЗЭ,2024,161,31.23,Современные достижения в географии.
Район11,Информатика_ШЭ,2023,80,21.97,"Основы программирования, работа с данными."
Район11,Информатика_МЭ,2023,87,19.35,"Разработка программного обеспечения, работа с базами данных."
Район11,Информатика_РЭ,2023,157,34.93,Анализ и оптимизация алгоритмов.
Район11,Информатика_ЗЭ,2023,13,14.63,"История информатики, влияние технологий на общество."
Район11,Информатика_МЭ,2024,113,27.19,Создание веб-приложений и работа с API.
Район11,Информатика_РЭ,2024,218,47.05,Машинное обучение и работа с большими данными.
Район11,Информатика_ЗЭ,2024,107,25.8,Современные достижения в области информатики.
Район11,Искусство_ШЭ,2023,195,43.19,Общие знания
Район11,Искусство_МЭ,2023,189,39.62,Общие знания
Район11,Искусство_РЭ,2023,172,40.7,Общие знания
Район11,Искусство_ЗЭ,2023,147,36.32,Общие знания
Район11,Искусство_ШЭ,2024,36,18.92,Общие знания
Район11,Искусство_МЭ,2024,100,23.79,Общие знания
Район11,Искусство_РЭ,2024,5,8.38,Общие знания
Район11,Искусство_ЗЭ,2024,2,13.79,Общие знания
Район11,История_МЭ,2023,21,9.82,Изучение исторических процессов и их влияния на современность.
Район11,История_РЭ,2023,232,44.96,Анализ исторических источников и документов.
Район11,История_ЗЭ,2023,102,21.52,"История культуры и искусства, влияние на общество."
Район11,История_ШЭ,2024,96,28.41,Углубленное изучение мировой истории и ее этапов.
Район11,История_МЭ,2024,235,46.45,Анализ исторических событий с разных точек зрения.
Район11,История_РЭ,2024,34,18.69,Работа с архивными материалами и историческими документами.
Район11,История_ЗЭ,2024,31,17.44,Современные подходы к изучению истории.
Район11,Испанский язык_ШЭ,2023,163,38.23,Общие знания
Район11,Испанский язык_ЗЭ,2023,100,24.99,Общие знания
Район11,Испанский язык_ШЭ,2024,43,15.35,Общие знания
Район11,Испанский язык_МЭ,2024,2,15.3,Общие знания
Район11,Испанский язык_РЭ,2024,42,18.81,Общие знания
Район11,Итальянский язык_ШЭ,2023,26,11.34,Общие знания
Район11,Итальянский язык_МЭ,2023,52,14.01,Общие знания
Район11,Итальянский язык_РЭ,2023,164,39.11,Общие знания
Район11,Итальянский язык_ЗЭ,2023,68,17.44,Общие знания
Район11,Итальянский язык_ШЭ,2024,19,8.82,Общие знания
Район11,Итальянский язык_МЭ,2024,44,20.82,Общие знания
Район11,Итальянский язык_РЭ,2024,74,21.23,Общие знания
Район11,Итальянский язык_ЗЭ,2024,160,37.26,Общие знания
Район11,Китайский язык_ШЭ,2023,19,12.65,Общие знания
Район11,Китайский язык_МЭ,2023,174,36.11,Общие знания
Район11,Китайский язык_РЭ,2023,105,23.93,Общие знания
Район11,Китайский язык_ЗЭ,2023,216,43.37,Общие знания
Район11,Китайский язык_ШЭ,2024,69,18.37,Общие знания
Район11,Китайский язык_МЭ,2024,200,43.01,Общие знания
Район11,Китайский язык_РЭ,2024,248,42.34,Общие знания
Район11,Китайский язык_ЗЭ,2024,99,29.2,Общие знания
Район11,Литература_ШЭ,2023,186,36.64,"Основы литературного анализа, знание классических произведений."
Район11,Литература_МЭ,2023,123,28.22,Изучение различных жанров и стилей литературы.
Район11,Литература_РЭ,2023,239,50.43,"Анализ литературных произведений, написание критических отзывов."
Район11,Литература_ЗЭ,2023,120,26.88,"История литературы, влияние на культуру."
Район11,Литература_ШЭ,2024,180,35.97,Углубленное изучение литературных течений и направлений.
Район11,Литература_МЭ,2024,195,41.2,Анализ современных произведений и их контекста.
Район11,Литература_РЭ,2024,158,37.2,Создание собственных литературных произведений.
Район11,Литература_ЗЭ,2024,112,26.25,Современные достижения в литературе.
Район11,Математика_ШЭ,2023,83,27.33,Общие знания
Район11,Математика_РЭ,2023,190,41.9,Общие знания
Район11,Математика_ЗЭ,2023,125,29.6,Общие знания
Район11,Математика_ШЭ,2024,119,31.56,Общие знания
Район11,Математика_МЭ,2024,136,27.96,Общие знания
Район11,Математика_РЭ,2024,86,21.75,Общие знания
Район11,Математика_ЗЭ,2024,51,18.44,Общие знания
Район11,Немецкий язык_ШЭ,2023,80,19.23,Общие знания
Район11,Немецкий язык_МЭ,2023,89,25.69,Общие знания
Район11,Немецкий язык_РЭ,2023,64,21.22,Общие знания
Район11,Немецкий язык_ЗЭ,2023,93,19.42,Общие знания
Район11,Немецкий язык_ШЭ,2024,34,11.15,Общие знания
Район11,Немецкий язык_РЭ,2024,207,37.32,Общие знания
Район11,Немецкий язык_ЗЭ,2024,12,10.44,Общие знания
Район11,Обществознание_ШЭ,2023,171,40.34,Общие знания
Район11,Обществознание_МЭ,2023,155,28.99,Общие знания
Район11,Обществознание_РЭ,2023,52,18.94,Общие знания
Район11,Обществознание_ЗЭ,2023,130,30.69,Общие знания
Район11,Обществознание_ШЭ,2024,148,28.7,Общие знания
Район11,Обществознание_РЭ,2024,249,48.82,Общие знания
Район11,Обществознание_ЗЭ,2024,30,12.87,Общие знания
Район11,Основы безопасности жизнедеятельности_ШЭ,2023,39,13.84,Общие знания
Район11,Основы безопасности жизнедеятельности_МЭ,2023,190,36.63,Общие знания
Район11,Основы безопасности жизнедеятельности_РЭ,2023,82,19.3,Общие знания
Район11,Основы безопасности жизнедеятельности_ЗЭ,2023,162,30.2,Общие знания
Район11,Основы безопасности жизнедеятельности_ШЭ,2024,48,16.11,Общие знания
Район11,Основы безопасности жизнедеятельности_МЭ,2024,225,45.07,Общие знания
Район11,Основы безопасности жизнедеятельности_РЭ,2024,63,20.06,Общие знания
Район11,Основы безопасности жизнедеятельности_ЗЭ,2024,243,48.08,Общие знания
Район11,Право_ШЭ,2023,22,9.45,Общие знания
Район11,Право_МЭ,2023,105,28.05,Общие знания
Район11,Право_РЭ,2023,56,23.0,Общие знания
Район11,Право_ЗЭ,2023,239,48.55,Общие знания
Район11,Право_ШЭ,2024,20,8.88,Общие знания
Район11,Право_МЭ,2024,29,14.88,Общие знания
Район11,Право_РЭ,2024,28,19.17,Общие знания
Район11,Право_ЗЭ,2024,155,30.73,Общие знания
Район11,Русский язык_МЭ,2023,244,44.33,Общие знания
Район11,Русский язык_РЭ,2023,214,37.36,Общие знания
Район11,Русский язык_ЗЭ,2023,145,35.78,Общие знания
Район11,Русский язык_ШЭ,2024,91,22.78,Общие знания
Район11,Русский язык_МЭ,2024,88,19.57,Общие знания
Район11,Русский язык_РЭ,2024,12,15.93,Общие знания
Район11,Русский язык_ЗЭ,2024,71,25.06,Общие знания
Район11,Технология_ШЭ,2023,211,45.34,Общие знания
Район11,Технология_МЭ,2023,40,20.87,Общие знания
Район11,Технология_РЭ,2023,140,32.31,Общие знания
Район11,Технология_ЗЭ,2023,61,15.14,Общие знания
Район11,Технология_ШЭ,2024,173,38.01,Общие знания
Район11,Технология_МЭ,2024,170,31.39,Общие знания
Район11,Технология_РЭ,2024,213,46.08,Общие знания
Район11,Технология_ЗЭ,2024,53,18.31,Общие знания
Район11,Физика_ШЭ,2023,232,47.26,"Основы физики, механика, термодинамика."
Район11,Физика_МЭ,2023,102,28.69,"Экспериментальные методы, анализ физических явлений."
Район11,Физика_РЭ,2023,171,34.8,"Решение задач, работа с физическими формулами."
Район11,Физика_ЗЭ,2023,161,35.41,"История физики, влияние на технологии."
Район11,Физика_ШЭ,2024,215,44.23,Углубленное изучение квантовой физики и теории относительности.
Район11,Физика_МЭ,2024,65,20.7,Применение законов физики в реальных задачах.
Район11,Физика_РЭ,2024,171,38.66,Исследование физических процессов на высоком уровне.
Район11,Физическая культура_ШЭ,2023,100,26.55,Общие знания
Район11,Физическая культура_МЭ,2023,218,46.52,Общие знания
Район11,Физическая культура_РЭ,2023,39,19.27,Общие знания
Район11,Физическая культура_ШЭ,2024,204,44.77,Общие знания
Район11,Физическая культура_МЭ,2024,239,46.68,Общие знания
Район11,Физическая культура_РЭ,2024,212,40.17,Общие знания
Район11,Физическая культура_ЗЭ,2024,145,34.43,Общие знания
Район11,Французский язык_ШЭ,2023,140,29.11,Общие знания
Район11,Французский язык_МЭ,2023,22,16.75,Общие знания
Район11,Французский язык_РЭ,2023,80,19.78,Общие знания
Район11,Французский язык_ЗЭ,2023,163,38.7,Общие знания
Район11,Французский язык_ШЭ,2024,56,16.03,Общие знания
Район11,Французский язык_МЭ,2024,217,47.21,Общие знания
Район11,Французский язык_РЭ,2024,238,48.32,Общие знания
Район11,Французский язык_ЗЭ,2024,47,15.77,Общие знания
Район11,Химия_ШЭ,2023,26,17.76,"Основы химии, химические реакции, периодическая таблица."
Район11,Химия_МЭ,2023,105,29.42,"Лабораторные методы, анализ химических веществ."
Район11,Химия_РЭ,2023,217,39.69,"Решение химических задач, работа с формулами."
Район11,Химия_ЗЭ,2023,118,25.0,"История химии, влияние на медицину."
Район11,Химия_ШЭ,2024,143,30.56,Углубленное изучение органической и неорганической химии.
Район11,Химия_МЭ,2024,230,45.65,Применение химических знаний в повседневной жизни.
Район11,Химия_РЭ,2024,209,36.75,Работа с химическими реакциями и их механизмами.
Район11,Химия_ЗЭ,2024,182,34.18,Современные достижения в химии и химической технологии.
Район11,Экология_ШЭ,2023,103,22.2,"Основы экологии, знание экосистем и их компонентов."
Район11,Экология_РЭ,2023,96,26.46,Анализ экологических данных и проблем.
Район11,Экология_ЗЭ,2023,204,44.39,"История экологии, влияние на общество."
Район11,Экология_ШЭ,2024,35,10.25,Углубленное изучение экологических процессов и их динамики.
Район11,Экология_МЭ,2024,145,29.37,Анализ современных экологических проблем и их решений.
